display_term,occurrence_count,key
mr,3094,Bleak House
not,2385,Little Dorrit
mr,2366,Little Dorrit
she,2275,Little Dorrit
not,2266,Bleak House
she,1828,Bleak House
little,1442,Little Dorrit
little,1152,Bleak House
mr,1072,Oliver Twist
not,1067,Great Expectations
mr,1036,The Mystery of Edwin Drood
sir,1035,Bleak House
one,999,Little Dorrit
dorrit,972,Little Dorrit
one,970,Bleak House
clennam,938,Little Dorrit
mrs,920,Little Dorrit
know,890,Bleak House
she,888,Great Expectations
says,876,Bleak House
not,855,A Tale of Two Cities
am,802,Bleak House
upon,786,Bleak House
not,784,Oliver Twist
upon,778,Little Dorrit
am,769,Little Dorrit
old,765,Bleak House
know,748,Little Dorrit
oliver,746,Oliver Twist
mr,711,Great Expectations
dear,709,Bleak House
say,694,Bleak House
joe,692,Great Expectations
lady,676,Bleak House
mrs,676,Bleak House
don't,669,Bleak House
time,663,Bleak House
say,661,Little Dorrit
good,648,Bleak House
man,633,Little Dorrit
mr,622,A Tale of Two Cities
down,610,Bleak House
time,604,Little Dorrit
man,601,Bleak House
not,586,The Mystery of Edwin Drood
us,581,Bleak House
old,577,Little Dorrit
again,577,Little Dorrit
miss,574,Bleak House
she,557,Oliver Twist
down,554,Little Dorrit
good,551,Little Dorrit
again,539,Bleak House
sir,518,Little Dorrit
hand,512,Little Dorrit
think,504,Bleak House
one,502,Great Expectations
richard,492,Bleak House
don’t,492,Little Dorrit
may,489,Bleak House
made,485,Little Dorrit
arthur,477,Little Dorrit
upon,477,Oliver Twist
great,470,Bleak House
replied,464,Oliver Twist
she,459,A Tale of Two Cities
one,456,Oliver Twist
jarndyce,455,Bleak House
old,444,Oliver Twist
hand,440,Bleak House
george,438,Bleak House
day,438,Bleak House
head,437,Bleak House
one,437,A Tale of Two Cities
leicester,435,Bleak House
dear,434,Little Dorrit
bucket,432,Bleak House
house,432,Bleak House
go,427,Bleak House
young,427,Bleak House
own,426,Little Dorrit
pancks,424,Little Dorrit
quite,424,Bleak House
great,423,Little Dorrit
made,399,Bleak House
father,398,Little Dorrit
she,397,The Mystery of Edwin Drood
guardian,396,Bleak House
two,395,Bleak House
room,391,Little Dorrit
think,389,Little Dorrit
night,386,Bleak House
merdle,386,Little Dorrit
day,384,Little Dorrit
miss,383,Great Expectations
may,382,Little Dorrit
know,382,Great Expectations
head,382,Little Dorrit
nothing,381,Little Dorrit
young,376,Little Dorrit
man,375,Oliver Twist
face,375,Bleak House
room,373,Bleak House
